Anja Pärson
Andre Agassi
Georgi Kandelaki
Steffi Graf
Jefferson Pérez
Matti Nykänen
Wladimir Klitschko
Archelaus I of Macedon
Florence Griffith Joyner
Pavel Černý
Pavel Horváth
Miroslav Dvořák
Akebono Tarō
Dave Bautista
Olga Fikotová
Nina Dumbadze
Heide Rosendahl
Hans Günter Winkler
Jaroslav Špaček
David Baramidze
David Kipiani
Josef Černý
Aleksandre Chivadze
Magdalena Neuner
Robert Hübner
Adam van Koeverden
Anna Dogonadze
Bernard Hinault
Terpander
Sarah Wiener
Alexander Munro
Petr Čáslava
Laila Schou Nilsen
Levan Kobiashvili
David Khakhaleishvili
Toni Schumacher
Jet Li
Eusébio
Zdeněk Pecka
Pavel Nedvěd
Tigran Petrosian
Leon Battista Alberti
Kakha Kaladze
Nodar Kumaritashvili
Aleksandre Iashvili
Tomáš Pospíchal
Jackie Joyner-Kersee
Zoltán Mechlovits
Kateřina Emmons
Karel Poborský
István Kovács
Věra Čáslavská
Barbora Strýcová
Nona Gaprindashvili
Maia Chiburdanidze
Ágnes Keleti
Jarmila Kratochvílová
Dana Zátopková
Paola Espinosa
Elene Gedevanishvili
Nancy Greene
Nino Salukvadze
Elena Novikova-Belova
Ronda Rousey
Vlasta Depetrisová
Nana Alexandria
María Julia Mantilla
Hana Mandlíková
Nana Ioseliani
Marek Švec
Denis Urubko
Cynisca
Vladimír Darida
Sándor Gombos
Jiřina Kudličková
Saida Gunba
Alexandros I of Macedon
Viktor Saneyev
Dick Fosbury
Dominik Hašek
Shota Arveladze
Barry Bonds
Zurab Khizanishvili
Roger Bannister
Zaza Pachulia
Karel Nováček
Rory Stewart
Arsen Mekokishvili
Shalva Chikhladze
Vítězslav Lavička
Daniel Kolář
David Limberský
Roman Kreuziger
Josef Bican
Randy Couture
Temur Ketsbaia
Georges St-Pierre
Roman Dzeneladze
Ray Park
Jaroslav Šilhavý
Kevin Peter Hall
Levan Sanadze
Jahon Qurbonov
Chuck Liddell
Michal Bílek
Nikolai Fomenko
Filip Jícha
Ivan Hlinka
Kakhi Kakhiashvili
Max Braun
Josef Silný
Patrick Philbin
Cylon of Athens
Aleksandr Medved
Sheila Taormina
Stan Mikita
Leila Meskhi
Olga Orgonista
Marnie McBean
Věra Suková
Ramaz Shengelia
Jiří Raška
Nino Khurtsidze
Ketevan Arakhamia-Grant
Chantal Petitclerc
Dito Shanidze
Nadezhda Khnykina-Dvalishvili
Kinga Baranowska
Jan Marek
Jean-Baptiste Charcot
Ana Mendieta
František Raboň
Alex Metreveli
Tom Danielson
Attila Abonyi
Petr Čech
Christine Lagarde
Anatoly Bykov
Koba Zakadze
Thomas Lipton
Frank Shorter
Andria Dadiani
Arybbas of Epirus
Adéla Bruns
Jüri Järvet
Petre Mshveniyeradze
Krystyna Zachwatowicz
Jozef Adamec
Slava Metreveli
Sergei Utochkin
Magnús Scheving
Thomas Homewood
Vladimer Ugrekhelidze
Nino Maisuradze
Mukhran Vakhtangadze
Toghrul Asgarov
Manuchar Kvirkvelia
Giorgi Gogshelidze
Mikheil Meskhi
Archil Arveladze
Antal Róka
Jiří Dolana
Henryk Dobrzański
Vladimír Martinec
Jaroslav Benák
Boris Paichadze
Jiří Lála
August Rodenberg
Charles Thias
William Slade
Walter Chaffe
Frederick Merriman
Alejandra Orozco
Anton Tkáč
Murtaz Khurtsilava
Zviad Endeladze
Czesław Lang
Bill Rodgers
W. G. Grace
Vladimir Gutsaev
William Greggan
Revaz Lashkhi
Bukhuti Gurgenidze
László Széchy
Harry Stiff
Arkady Vorobyov
Arcesilaus IV of Cyrene
Avtandil Gogoberidze
Patrik Ježek
Oldřich Machač
Martin Jakš
Robert Shavlakadze
Chuck Connors
Gia Nadareishvili
Zurab Zviadauri
Rafael Chimishkyan
Mikheil Kavelashvili
Oleg Taktarov
Irakli Tsirekidze
David Gobejishvili
Alberto Salazar
Bohuslav Ebermann
Calvin Bricker
Avtandil Koridze
Petr Sýkora
David Tsimakuridze
Zurab Azmaiparashvili
Károly Varga
Guivi Sissaouri
Vladimer Khinchegashvili
Aleksandr Dokturishvili
Gábor P. Szabó
Dato Marsagishvili
George Genereux
Ivan Poddubny
Edwin Mills
Bernard Boverton Redwood
Géza Tuli
Bohumil Němeček
Ramaz Paliani
Aleksandr Kurlovich
Robert Lang
Salome Melia
Carlos Gracie
Tengiz Sulakvelidze
Wim Hof
Václav Kozák
Miloslav Hořava
Charles Brown
Tomáš Vlasák
Karel Rada
Tomáš Šmíd
József Várszegi
Vitaly Daraselia
Callias II
Anzor Kavazashvili
Tornike Shengelia
Mariano Haro
Gunnar Nielsen
Tyson Fury
Jiří Holík
Gyula Halasy
Cecilia Santiago
Viktor Sanikidze
Vladimir Gogoladze
Dan Millman
Daniel Scioli
Alipi Kostadinov
Kakhi Asatiani
Georgy Skhirtladze
Levan Tediashvili
Sakyong Mipham
Samir Bannout
Yevgeniy Abalakov
Eldar Kurtanidze
Gábor Török
Marek Čech
Magnus Samuelsson
Václav Chalupa
Gilles Quénéhervé
Martin Straka
Stanisław Marusarz
Mariusz Zaruski
Erling Kagge
Otto Jelinek
Leri Khabelov
Jan Řehula
Braun Strowman
Agnieszka Skrzypulec
Alice Bah Kuhnke
Henry Kuprashvili
Merab Gagunashvili
Roman Rurua
Givi Kartozia
Givi Chokheli
Josef Beránek
Karel Pešek
Jakub Kindl
Matúš Kozáčik
Emile Thubron
Jaroslav Holík
Milan Kajkl
Milan Chalupa
Shota Chochishvili
Giorgi Asanidze
Nestor Khergiani
Jiří Bubla
Mikhail Yakushin
Frederick Goodfellow
Gavriil Kachalin
Giorgi Shermadini
Cleomedes of Astypalia
Nodar Gvakhariya
Reza Beyk Imanverdi
John Ditlev-Simonsen
Ricardo Echeverría
Brandon Curry
Catherine Garceau
Kenti Robles
Charlyn Corral
Igor Lapshin
Jack LaLanne
Jacobo Fitz-James Stuart, 17th Duke of Alba
Jan Hrbatý
Vakhtang Balavadze
Jiří Kormaník
Kakhaber Tskhadadze
Kai Greene
Yang Chengfu
George Canning
Harry Jacobs
Charles Rose
Frederick Holmes
Thomas Butler
John Sewell
Robert Pražák
Lincoln McIlravy
Levan Moseshvili
Alois Kaňkovský
Luděk Bukač
Giorgi Demetradze
Martin Ručinský
David Goggins
Milan Hnilička
Raymond van Barneveld
Jan Peka
Sergo Kotrikadze
Vakhtang Blagidze
Otakar Nožíř
Isaac Thomas Thornycroft
Aleksandr Anpilogov
Revaz Chelebadze
Ilia Datunashvili
Otar Tushishvili
Otar Gabelia
Radomír Šimůnek
Georgii Zantaraia
Nugzar Tatalashvili
Irakli Labadze
Georgi Nemsadze
Avtandili Tchrikishvili
Giorgi Gel Giorgadze
R. Tait McKenzie
Keto Losaberidze
Károly Levitzky
Gela Ketashvili
Mikhail Korkia
Jaba Kankava
Vladimer Aptsiauri
Giorgi Sichinava
Vladimir Turchinsky
Orrin Upshaw
Ernest Ebbage
Giorgi Vazagashvili
Eddie Hall
Ekaterine Gorgodze
Suguru Osako
Nasser bin Hamad Al Khalifa
Walter Tammas
James Clarke
Oscar Friede
William Seiling
Thomas Swindlehurst
Mathias Hynes
James Woodget
Nikolai Derugin
Nodar Dzhordzhikiya
Neville Bulwer-Lytton, 3rd Earl of Lytton
Tommy Caldwell
Anaxilas
Ramaz Urushadze
Giorgi Makaridze
Shota Khabareli
Givi Nodia
Revaz Dzodzuashvili
Smith Streeter
Zurab Sakandelidze
Elizbar Ubilava
Zaur Kaloyev
Aleksei Alipov
Adam Papée
Anzor Kiknadze
Joseph Dowler
Patrick Flanagan
Henry Seiling
Sidney Johnson
Július Bielik
Hamo Beknazarian
Otar Korkia
Vladimir Stepania
Kianoush Rostami
Adam Helcelet
Sigismund Freyer
Tatyana Konstantinova
Nayeli Rangel
Callias I
Nodar Akhalkatsi
Svetlana Kapanina
Georges Duperron
Guram Minashvili
Hans-Joachim Weise
Lasha Talakhadze
Gustav Schwarzenegger
Bohumil Kudrna
Alfred Lyttelton
Jakub Jeřábek
James H. Smith Jr.
Tor Arneberg
Geno Petriashvili
Magdalena Aicega
Ferenc Szűts
Joseph Rantz
Martin Tenk
Jiří Havlis
Miroslav Varga
Jan Kůrka
Stanisław Wigura
Jan Kovář
Jan Jindra
Karel Mejta
Miroslav Koranda
Pavel Svojanovský
Stanislav Lusk
Charles Greville
Zdeněk Koubek
Avtandil Chkuaseli
Ramaz Kharshiladze
Amiran Totikashvili
Varlam Liparteliani
Jaroslav Škarvan
Vladimír Jarý
Givi Chikvanaia
Guram Kostava
Andrej Šustr
Dominik Kubalík
István Szabó
Leri Gogoladze
Akaki Chachua
Nugzar Asatiani
Vakhtang Iagorashvili
Vladimir Barkaya
Liana Tsotadze
Tereza Smitková
Eva Adamczyková
Koba Gogoladze
Nino Gurieli
Vazha Kacharava
Alina Berezhna
Irakli Turmanidze
Krisztián Adorján
Cimon Coalemos
Bobby Leach
Maria Teresa Ramírez
Sifan Hassan
Wiyaala
Nikoloz Basilashvili
Georgy Tenadze
Parnaoz Chikviladze
Jadwiga Piłsudska
Amiran Papinashvili
Fredrik Bergström
Lyudmyla Olyanovska
Zhao Xintong
Miriam Škoch
Haruka Kitaguchi
János Benedek
Katerina Tikhonova
Nadia Eke
Q21001061
Sofia Huerta
Igor Skalin
Lilian Tintori
Carlo Biotti
Deepa Malik
Robert Kobliashvili
Giorgi Arabidze
Jitu Rai
George Smith
Parviz Nasibov
Jordi Xammar
Shweta Chaudhry
Zhan Beleniuk
Pavlos Kagialis
Panagiotis Mantis
Martyna Łukasik
Vazha Margvelashvili
Martin Ádám
Wu Jiaxin
Maryna Moroz
C A Bhavani Devi
Markéta Jeřábková
Beka Lomtadze
Elizbar Odikadze
Guram Tushishvili
Musa Evloev
Stefano Peschiera
Paul Kohlhoff
Michael Cherry
